id,count
0,91.76
1,234.41
2,100.34
4,29.84
5,62.65
10,129.48
11,185.74
12,318.7
15,31.81
17,124.52
18,309.43
23,263.2
25,109.7
26,37.86
31,207.86
39,164.78
40,25.39
41,159.61
42,358.01
43,175.07
51,237.58
52,83.61
54,15.41
60,149.23
61,151.25
62,116.97
63,27.92
65,123.61
66,121.45
68,150.94
71,65.73
80,28.43
82,70.78
94,137.19
98,273.69
101,30.46
102,134.17
107,113.57
112,208.1
113,71.42
115,49.19
116,124.79
120,173.28
121,79.0
122,336.29
132,192.03
143,89.65
147,67.26
150,18.2
151,87.95
152,248.94
153,92.65
155,167.49
156,82.04
159,200.0
161,147.12
163,43.95
177,182.23
186,14.83
188,18.14
190,91.53
191,88.1
192,251.0
195,308.03
200,149.57
209,310.21
210,14.42
211,201.51
214,123.61
215,26.56
218,102.43
219,32.23
222,155.31
225,14.15
228,315.45
236,233.67
241,36.12
242,195.58
243,243.19
245,17.32
247,248.69
251,135.06
252,98.3
253,87.59
254,93.3
258,302.81
260,49.9
261,164.6
265,111.86
266,274.75
267,293.14
269,156.18
270,67.52
275,100.73
278,37.96
279,86.51
286,94.77
287,29.98
288,215.8
289,144.16
293,19.73
294,144.06
297,35.8
302,120.25
303,55.92
304,61.49
307,99.84
309,17.33
311,178.83
312,129.39
314,188.52
315,249.82
319,165.97
322,117.65
323,65.97
325,126.6
327,246.92
330,35.31
332,222.86
333,18.88
338,100.84
341,113.82
345,177.42
348,122.96
349,45.41
350,122.06
352,48.27
355,16.55
356,231.69
358,53.39
363,130.71
369,150.86
371,19.7
372,134.73
375,314.07
380,138.44
388,44.64
391,153.14
392,259.31
393,366.55
394,201.61
396,27.5
401,35.8
407,105.91
409,90.31
410,120.51
416,110.43
418,123.07
420,158.57
421,200.78
422,135.65
424,289.8
428,332.49
429,220.64
431,156.52
435,14.42
439,118.12
441,13.45
447,95.73
449,142.06
451,137.01
452,16.08
454,209.12
458,219.4
463,129.0
467,15.45
470,215.05
471,149.42
474,292.25
478,17.0
483,126.0
484,133.24
485,84.53
486,132.73
491,99.31
494,101.94
495,232.7
497,201.43
499,173.32
515,117.06
518,228.65
521,194.21
525,168.11
529,262.02
532,146.58
534,109.0
540,111.46
544,302.32
547,171.67
549,43.62
563,35.04
564,138.28
567,124.65
572,121.53
577,139.87
578,270.16
585,336.98
588,134.34
589,124.48
590,103.61
592,16.81
594,198.39
596,14.69
598,333.38
599,144.52
605,35.18
606,128.34
607,247.63
608,224.44
609,62.25
610,281.3
611,194.24
614,132.6
615,211.65
616,251.03
617,128.67
618,240.44
624,120.9
629,143.43
631,93.35
633,92.05
637,24.59
638,103.53
643,63.49
644,134.76
645,35.88
646,200.5
648,208.68
650,39.23
651,204.22
652,275.11
656,112.38
657,18.38
659,74.3
660,202.66
662,100.39
665,369.88
675,324.1
681,155.28
682,206.76
685,23.41
686,218.4
689,24.94
696,137.69
703,153.46
704,95.9
705,118.95
714,229.98
717,100.25
718,14.98
720,97.3
721,268.26
723,222.46
726,184.22
728,137.9
730,196.7
731,27.47
734,335.29
737,87.75
738,20.0
745,180.7
746,26.59
749,237.87
752,25.36
753,161.28
758,240.15
765,16.25
766,234.56
768,89.33
769,199.21
774,133.62
775,105.92
781,47.79
784,331.04
794,18.92
795,275.69
796,72.91
802,135.5
803,219.94
805,32.27
806,292.58
807,103.21
809,18.51
810,168.81
812,208.59
814,113.13
818,252.74
819,137.79
825,70.79
836,115.51
839,120.23
847,265.7
848,183.22
851,125.0
852,136.26
853,30.68
857,149.26
858,39.76
859,219.18
861,22.92
867,101.55
870,208.55
871,211.65
872,220.2
874,359.16
881,217.58
886,135.04
890,53.33
895,168.78
899,91.87
900,273.51
901,249.6
902,257.49
903,39.96
913,266.45
918,208.79
923,123.47
924,37.67
926,27.87
927,19.76
930,216.14
934,34.24
937,134.13
939,144.03
941,95.54
942,364.21
946,267.83
950,98.23
953,97.46
959,89.66
961,29.35
962,101.16
964,77.48
969,181.82
971,143.94
976,40.09
978,241.09
980,241.19
981,150.87
990,360.29
993,17.85
996,18.86
998,317.55
999,180.85
1006,122.28
1008,15.23
1013,28.99
1015,97.11
1016,122.41
1022,303.08
1026,215.99
1028,242.21
1031,61.93
1034,45.83
1037,210.27
1040,64.18
1042,19.25
1046,18.06
1048,100.93
1049,115.93
1050,63.42
1051,205.39
1052,238.8
1055,174.24
1060,153.28
1064,29.0
1066,71.22
1071,100.91
1073,14.91
1089,192.73
1091,96.49
1092,77.95
1093,223.16
1096,313.2
1097,213.16
1098,18.56
1099,37.29
1102,167.2
1107,98.24
1109,42.08
1111,127.54
1112,116.25
1114,312.29
1116,292.18
1117,123.36
1118,72.45
1122,137.47
1124,165.63
1127,123.07
1133,227.47
1134,38.05
1135,135.06
1139,298.54
1143,46.94
1150,118.93
1151,111.68
1153,277.4
1155,28.68
1162,30.05
1163,220.57
1166,22.25
1171,90.71
1172,15.7
1173,273.35
1174,73.22
1177,116.19
1178,137.61
1184,171.52
1185,111.17
1186,119.34
1187,170.7
1188,287.54
